año,pbi,variacion_%
2000,284203750000.0,
2001,268696750000.0,-5.456296758927359
2002,97724004251.8602,-63.630373552393095
2003,127586973492.177,30.55847892126089
2004,164657930452.787,29.055440336848328
2005,198737095012.282,20.696946977155584
2006,232557260817.308,17.017540586942715
2007,287530508430.568,23.638585791757237
2008,361558037110.419,25.74597356082893
2009,332976484577.619,-7.905107783310383
2010,423627422092.49,27.22442626237158
2011,530158122010.442,25.147262514722968
2012,545982375701.128,2.9848177428043465
2013,552025140252.246,1.1067691596011953
2014,526319673731.638,-4.656575334388203
2015,594749285413.212,13.0015302670341
2016,557532320662.955,-6.257588813141657
2017,643628393281.364,15.442346466305889
2018,524819892360.176,-18.459176469122994
2019,447754683615.225,-14.684124947775867
2020,385740508436.965,-13.850033834945075
2021,486564085480.036,26.13766893490441
2022,633993756301.08,30.30015474232799
2023,649461687959.174,2.439760881611641
2024,638365455340.04,-1.7085276660432358
2025,683097891618.597,7.007339746278918
